,text,href,date,name,comments_qty
0,,https://seekingalpha.com/article/4355962-stocks-to-watch-fireworks-for-nikola-tesla-and-micron?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:1,"Today, 9:00 AM","Stocks To Watch: Fireworks For Nikola, Tesla And Micron",92 Comments
1,,https://seekingalpha.com/article/4355897-tesla-watching-q2-coronavirus-deliveries?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:2,"Yesterday, 2:05 PM",Tesla: Watching Q2 Coronavirus Deliveries,173 Comments
2,,https://seekingalpha.com/article/4355755-tesla-ignoring-quality-issues-is-no-longer-option?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:3,"Thu, Jun. 25",Tesla: Ignoring Quality Issues Is No Longer An Option,233 Comments
3,,https://seekingalpha.com/article/4355742-questions-remain-this-may-now-be-time-for-tesla-semi?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:4,"Thu, Jun. 25","Questions Remain, But This May Now Be The Time For The Tesla Semi",115 Comments
4,,https://seekingalpha.com/article/4355640-tesla-v2g-technology-dramatically-increase-demand-and-sales-of-all-models?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:5,"Thu, Jun. 25",Tesla V2G Technology Could Dramatically Increase Demand And Sales Of All Models,481 Comments
5,,https://seekingalpha.com/article/4355293-tesla-quality-issues-and-soft-demand-plague-model-y-rollout?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:6,"Wed, Jun. 24",Tesla: Quality Issues And Soft Demand Plague Model Y Rollout,526 Comments
6,,https://seekingalpha.com/article/4354413-tesla-makes-expensive-decision?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:7,"Wed, Jun. 17",Tesla Makes An Expensive Decision,664 Comments
7,,https://seekingalpha.com/article/4354297-why-tesla-is-surging-while-ford-and-gm-struggle?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:8,"Wed, Jun. 17",Why Tesla Is Surging While Ford And GM Struggle,643 Comments
8,,https://seekingalpha.com/news/3586613-bezos-copycat-elon-musk-comments-on-amazons-zoox-purchase?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:1,"Yesterday, 1:47 PM",Bezos a copycat - Elon Musk comments on Amazon's Zoox purchase,197 Comments
9,,https://seekingalpha.com/news/3586522-amazon-drives-autonomous-vehicle-chase-zoox-acquisition?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:2,"Yesterday, 9:42 AM",Amazon drives into autonomous vehicle chase with Zoox acquisition,94 Comments
10,,https://seekingalpha.com/news/3586227-tesla-workers-claim-terminated-for-safety-complaints?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:3,"Thu, Jun. 25",Tesla workers claim they were terminated for safety complaints,110 Comments
11,,https://seekingalpha.com/news/3586003-stage-is-set-for-2021-ford-fminus-150?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:4,"Thu, Jun. 25",Stage is set for the 2021 Ford F-150,240 Comments
12,,https://seekingalpha.com/news/3585836-dodge-shocks-top-overall-quality-marks-from-j-d-power?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:5,"Wed, Jun. 24",Dodge shocks with top overall quality marks from J.D. Power,157 Comments
13,,https://seekingalpha.com/news/3585739-nhtsa-probes-tesla-over-model-s-touchscreens?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:6,"Wed, Jun. 24",NHTSA probes Tesla over Model S touchscreens,164 Comments
14,,https://seekingalpha.com/news/3585362-wait-for-better-entry-point-on-tesla-morgan-stanley?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:7,"Tue, Jun. 23",Wait for a better entry point on Tesla - Morgan Stanley,147 Comments
15,,https://seekingalpha.com/news/3585272-nevada-supports-clean-car-program?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:8,"Tue, Jun. 23",Nevada supports clean car program,39 Comments
16,,https://seekingalpha.com/news/3585157-cybertruck-expected-to-hit-market-strong?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:9,"Mon, Jun. 22",Cybertruck expected to hit the market strong,561 Comments
17,,https://seekingalpha.com/news/3584843-tesla-expected-to-offer-7-seat-model-y?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:10,"Mon, Jun. 22",Tesla expected to offer 7-seat Model Y,173 Comments
18,,https://seekingalpha.com/news/3584749-tesla-will-postpone-annual-meeting-musk-says?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:11,"Sat, Jun. 20","Tesla will postpone annual meeting, Musk says",334 Comments
19,,https://seekingalpha.com/article/4319944-tesla-inc-2019-q4-results-earnings-call-presentation?source=content_type:react|section:All|sectionAsset:IvestorPresentations|first_level_url:symbol|button:Title|lock_status:No|line:2,"Wed, Jan. 29","Tesla, Inc. 2019 Q4 - Results - Earnings Call Presentation",104 Comments
20,,https://seekingalpha.com/article/4298351-tesla-inc-2019-q3-results-earnings-call-presentation?source=content_type:react|section:All|sectionAsset:IvestorPresentations|first_level_url:symbol|button:Title|lock_status:No|line:3,"Wed, Oct. 23, 2019","Tesla, Inc. 2019 Q3 - Results - Earnings Call Presentation",163 Comments
21,,https://seekingalpha.com/article/4277233-tesla-inc-2019-q2-results-earnings-call-slides?source=content_type:react|section:All|sectionAsset:IvestorPresentations|first_level_url:symbol|button:Title|lock_status:No|line:4,"Wed, Jul. 24, 2019","Tesla, Inc. 2019 Q2 - Results - Earnings Call Slides",179 Comments
22,,https://seekingalpha.com/article/4236881-tesla-inc-2018-q1-results-earnings-call-slides?source=content_type:react|section:All|sectionAsset:IvestorPresentations|first_level_url:symbol|button:Title|lock_status:No|line:5,"Wed, Jan. 30, 2019","Tesla, Inc. 2018 Q1 - Results - Earnings Call Slides",81 Comments
